id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,id_región,región,circunscripción_senatorial,distrito,comuna,id_circunscripción,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,lista,válidos
60,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Votos En Blanco, ,,,,,  ,   ,,7
61,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Palma Fourcade Anibal,Anibal Francisco,Palma,Fourcade,Hombre,,Independiente,INDEP,A,12
62,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Palza Corvacho Humberto,Humberto,Palza,Corvacho,Hombre,Si,Democrata Cristiano,PDC,A,50
63,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Abusleme Alfaro Gabriel,Gabriel Eduardo,Abusleme,Alfaro,Hombre,,Renovacion Nacional,RN,B,26
64,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Lagos Cosgrove Julio,Julio Eloy,Lagos,Cosgrove,Hombre,Si,Independiente,INDEP,B,102
65,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Dougnac Rodriguez Fernando,Fernando Sergio,Dougnac,Rodriguez,Hombre,,Independiente,INDEP,CI,12
66,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Soria Quiroga Jorge Alejandro,Jorge Alejandro,Soria,Quiroga,Hombre,,Independiente,INDEP,CI,7
67,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Baraquett Jorratt Yulia,Julia,Baraquett,Jorratt,Mujer,,Independiente,INDEP,E,8
68,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Pino Parraguez Raquel,Raquel Maria,Pino,Parraguez,Mujer,,Independiente,INDEP,E,2
69,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Votos Nulos, ,,,,,  ,   ,,11
70,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Votos En Blanco, ,,,,,  ,   ,,20
71,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Mujer,Palma Fourcade Anibal,Anibal Francisco,Palma,Fourcade,Hombre,,Independiente,INDEP,A,8
72,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Mujer,Palza Corvacho Humberto,Humberto,Palza,Corvacho,Hombre,Si,Democrata Cristiano,PDC,A,28
73,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Mujer,Abusleme Alfaro Gabriel,Gabriel Eduardo,Abusleme,Alfaro,Hombre,,Renovacion Nacional,RN,B,24
74,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Mujer,Lagos Cosgrove Julio,Julio Eloy,Lagos,Cosgrove,Hombre,Si,Independiente,INDEP,B,85
75,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Mujer,Dougnac Rodriguez Fernando,Fernando Sergio,Dougnac,Rodriguez,Hombre,,Independiente,INDEP,CI,9
76,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Mujer,Soria Quiroga Jorge Alejandro,Jorge Alejandro,Soria,Quiroga,Hombre,,Independiente,INDEP,CI,30
77,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Mujer,Baraquett Jorratt Yulia,Julia,Baraquett,Jorratt,Mujer,,Independiente,INDEP,E,5
78,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Mujer,Pino Parraguez Raquel,Raquel Maria,Pino,Parraguez,Mujer,,Independiente,INDEP,E,4
79,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Mujer,Votos Nulos, ,,,,,  ,   ,,33
80,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Mujer,Votos En Blanco, ,,,,,  ,   ,,5
81,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Hombre,Palma Fourcade Anibal,Anibal Francisco,Palma,Fourcade,Hombre,,Independiente,INDEP,A,43
82,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Hombre,Palza Corvacho Humberto,Humberto,Palza,Corvacho,Hombre,Si,Democrata Cristiano,PDC,A,130
83,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Hombre,Abusleme Alfaro Gabriel,Gabriel Eduardo,Abusleme,Alfaro,Hombre,,Renovacion Nacional,RN,B,47
84,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Hombre,Lagos Cosgrove Julio,Julio Eloy,Lagos,Cosgrove,Hombre,Si,Independiente,INDEP,B,509
85,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Hombre,Dougnac Rodriguez Fernando,Fernando Sergio,Dougnac,Rodriguez,Hombre,,Independiente,INDEP,CI,19
86,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Hombre,Soria Quiroga Jorge Alejandro,Jorge Alejandro,Soria,Quiroga,Hombre,,Independiente,INDEP,CI,17
87,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Hombre,Baraquett Jorratt Yulia,Julia,Baraquett,Jorratt,Mujer,,Independiente,INDEP,E,17
88,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Hombre,Pino Parraguez Raquel,Raquel Maria,Pino,Parraguez,Mujer,,Independiente,INDEP,E,20
89,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Hombre,Votos Nulos, ,,,,,  ,   ,,25
90,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Hombre,Votos En Blanco, ,,,,,  ,   ,,32
91,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Mujer,Palma Fourcade Anibal,Anibal Francisco,Palma,Fourcade,Hombre,,Independiente,INDEP,A,11
92,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Mujer,Palza Corvacho Humberto,Humberto,Palza,Corvacho,Hombre,Si,Democrata Cristiano,PDC,A,60
93,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Putre,4,Putre,Mujer,Abusleme Alfaro Gabriel,Gabriel Eduardo,Abusleme,Alfaro,Hombre,,Renovacion Nacional,RN,B,16
