id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,resultado,partido,sigla,válidos
91,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pica,Pica,Hombre,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,93
92,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pica,Pica,Hombre,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,258
93,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pica,Pica,Hombre,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,304
94,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pica,Pica,Hombre,Votos Nulos ,,,,,,,,,7
95,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pica,Pica,Hombre,Votos En Blanco ,,,,,,,,,10
96,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pica,Pica,Mujer,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,94
97,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pica,Pica,Mujer,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,248
98,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pica,Pica,Mujer,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,200
99,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pica,Pica,Mujer,Votos Nulos ,,,,,,,,,7
100,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pica,Pica,Mujer,Votos En Blanco ,,,,,,,,,4
101,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Mamiña,Hombre,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,18
102,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Mamiña,Hombre,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,71
103,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Mamiña,Hombre,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,54
104,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Mamiña,Hombre,Votos Nulos ,,,,,,,,,5
105,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Mamiña,Hombre,Votos En Blanco ,,,,,,,,,0
106,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Mamiña,Mujer,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,17
107,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Mamiña,Mujer,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,56
108,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Mamiña,Mujer,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,38
109,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Mamiña,Mujer,Votos Nulos ,,,,,,,,,3
110,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Mamiña,Mujer,Votos En Blanco ,,,,,,,,,1
111,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Pozo Almonte,Hombre,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,231
112,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Pozo Almonte,Hombre,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,817
113,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Pozo Almonte,Hombre,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,810
114,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Pozo Almonte,Hombre,Votos Nulos ,,,,,,,,,21
115,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Pozo Almonte,Hombre,Votos En Blanco ,,,,,,,,,29
116,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Pozo Almonte,Mujer,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,162
117,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Pozo Almonte,Mujer,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,426
118,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Pozo Almonte,Mujer,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,473
119,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Pozo Almonte,Mujer,Votos Nulos ,,,,,,,,,22
120,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Pozo Almonte,Pozo Almonte,Mujer,Votos En Blanco ,,,,,,,,,32
121,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,2,Parinacota,Putre,Belen,Hombre,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,46
122,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,2,Parinacota,Putre,Belen,Hombre,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,82
123,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,2,Parinacota,Putre,Belen,Hombre,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,48
124,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,2,Parinacota,Putre,Belen,Hombre,Votos Nulos ,,,,,,,,,3
