id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,válidos
4765,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Hombre,Jose Piñera,Jose,Piñera,Echenique,Hombre,,Independiente,INDEP,13
4766,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Hombre,Manfred Max,Manfred,Max,Neef,Hombre,,Independiente,INDEP,10
4767,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Hombre,Votos Nulos ,,,,,,,,43
4768,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Hombre,Votos En Blanco ,,,,,,,,23
4769,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Mujer,Arturo Alessandri,Arturo,Alessandri,Besa,Hombre,,Independiente,INDEP,108
4770,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Mujer,Cristian Reitze,Cristian,Reitze,Campos,Hombre,,Alianza Humanista Verde,AHV,6
4771,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Mujer,Eduardo Frei,Eduardo,Frei,Ruiz-Tagle,Hombre,Si,Democrata Cristiano,DC,79
4772,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Mujer,Eugenio Pizarro,Eugenio,Pizarro,Poblete,Hombre,,Independiente,INDEP,13
4773,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Mujer,Jose Piñera,Jose,Piñera,Echenique,Hombre,,Independiente,INDEP,9
4774,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Mujer,Manfred Max,Manfred,Max,Neef,Hombre,,Independiente,INDEP,8
4775,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Mujer,Votos Nulos ,,,,,,,,17
