id,región,distrito,nombre,pres,pres2,vp1,vp2,vp3,mesa1,mesa2,mesa3,comisiones1,presos1,presos2,protocolo_covid,covid_pcr,nbásicas,reg_cs,reg_vpc,reg_ms+ldp,reg_cd,reg_fa,reg_ms+ldp(b),reg_vpc(b),reg_inn(b),reg_vpc(c1),reg_vpc(c2),reg_ms+ldp(iv),reg_cd(iv),reg_mesa(c),pres_fa,et_fa,et_cd,et_cs,ce_fa,ce_ms+ldp,ce_vpc,ce_cs,ce_mesa,ce_fa(5),ce_ms+ldp(iii),ce_cs(iii),co_ddhh,co_cit,co_pc,co_pycppoo,co_des,co_pst,co_pcdlp,co_pla,co_bv,co_dl,co_ms18o,co_brnbm,co_pvyt
972,Bío-Bío,20,Rossana Loreto Vidal Hernandez,Politzer,Loncon,Rojas,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,en contra,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,abstencion,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,a favor ,en contra,a favor ,a favor ,en contra ,abstencion,en contra
981,Bío-Bío,20,Bastian Esteban Labbe Salazar,Loncon,Loncon,Rojas,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,en contra,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,,a favor,en contra ,en contra,en contra ,en contra ,en contra ,en contra ,en contra
1001,Bío-Bío,21,Paulina Veloso Muñoz,Jurgensen,Politzer,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,a favor,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,abstencion ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,abstencion,en contra ,en contra ,a favor ,,,,a favor,a favor ,abstencion ,abstencion,a favor ,abstencion,abstencion,,,
1008,Bío-Bío,21,Luis Ramon Barcelo Amado,Politzer,Loncon,Logan,Bassa,Bassa,na,na,na,na,abstención,abstención,a favor,en contra,a favor,,en contra,a favor,en contra,en contra,en contra,a favor,a favor,a favor,en contra ,en contra ,en contra ,a favor ,a favor ,a favor ,en contra ,en contra ,a favor ,a favor ,a favor ,en contra ,en contra ,a favor ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,abstencion ,abstencion,a favor ,en contra ,en contra ,a favor ,en contra ,en contra
1013,Bío-Bío,21,Vanessa Camila Hoppe Espoz,Loncon,Loncon,Dorador,Rojas,Bassa,na,na,na,na,opción uno,opción uno,a favor,en contra,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,en contra ,en contra,abstencion,abstencion,en contra ,,
1019,Bío-Bío,21,Javier Fuchslocher Baeza,Politzer,Politzer,Dominguez,Bassa,Bassa,na,na,na,na,abstención,abstención,a favor,en contra,a favor,,en contra,a favor,en contra,en contra,en contra,a favor,a favor,en contra ,en contra ,a favor ,en contra ,abstencion,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,,,,,,,,,,,,,
1029,Araucanía,22,Ruth Hurtado Olave,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,a favor,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,a favor ,en contra ,en contra ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,en contra ,,a favor ,a favor,a favor ,a favor ,a favor,a favor ,en contra ,abstencion,a favor ,en contra ,en contra ,en contra ,en contra ,a favor 
1034,Araucanía,22,Eduardo Andres Cretton Rebolledo,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,a favor,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,abstencion ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,en contra ,en contra ,en contra ,a favor,a favor ,a favor ,a favor,a favor ,en contra ,en contra ,en contra,en contra ,en contra ,a favor ,en contra ,a favor 
1038,Araucanía,22,Fuad Chahin Valenzuela,Politzer,Loncon,Logan,Bassa,Bassa,na,na,na,na,abstención,abstención,a favor,a favor,a favor,,en contra,a favor,en contra,en contra,en contra,a favor,a favor,a favor,en contra ,a favor ,en contra ,a favor ,en contra ,a favor ,en contra ,,en contra ,a favor ,en contra ,,,,a favor ,a favor ,,,a favor ,a favor,a favor ,abstencion ,abstencion,abstencion,abstencion,abstencion,abstencion,abstencion,abstencion
1061,Araucanía,23,Helmuth Jacobo Martinez Llancapan,Loncon,Loncon,Bassa,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,en contra,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,a favor,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,abstencion,abstencion,abstencion,a favor ,abstencion,a favor,abstencion
