fecha,encuesta,aprueba,desaprueba,dif,,
12/07/2019,Cadem,30.00,58.00,-28.00,,
05/07/2019,Cadem,32.00,57.00,-25.00,,
01/07/2019,Criteria Research,27.00,61.00,-34.00,,
01/07/2019,Activa Research,15.50,42.70,-27.20,,
28/06/2019,Cadem,33.00,56.00,-23.00,,
21/06/2019,Cadem,29.00,57.00,-28.00,,
14/06/2019,Cadem,31.00,59.00,-28.00,,
07/06/2019,Cadem,34.00,56.00,-22.00,,
03/06/2019,Criteria Research,28.00,59.00,-31.00,,
03/06/2019,CEP,25.00,50.00,-25.00,,
31/05/2019,Activa Research,17.30,41.00,-23.70,,
31/05/2019,Cadem,33.00,55.00,-22.00,,
24/05/2019,Cadem,33.00,52.00,-19.00,,
19/05/2019,MORI,27.00,63.00,-36.00,,
17/05/2019,Cadem,34.00,54.00,-20.00,,
10/05/2019,Cadem,36.00,48.00,-12.00,,
03/05/2019,Cadem,35.00,52.00,-17.00,,
02/05/2019,Activa Research,17.70,36.20,-18.50,,
28/04/2019,Criteria Research,36.00,50.00,-14.00,,
26/04/2019,Cadem,35.00,53.00,-18.00,,
18/04/2019,Cadem,35.00,50.00,-15.00,,
12/04/2019,Cadem,36.00,52.00,-16.00,,
05/04/2019,Cadem,36.00,51.00,-15.00,,
31/03/2019,Activa Research,13.20,44.20,-31.00,,
31/03/2019,Criteria Research,34.00,53.00,-19.00,,
29/03/2019,Cadem,39.00,46.00,-7.00,,
22/03/2019,Cadem,37.00,50.00,-13.00,,
15/03/2019,Cadem,40.00,46.00,-6.00,,
08/03/2019,Cadem,37.00,48.00,-11.00,,
01/03/2019,Activa Research,20.10,39.80,-19.70,,
01/03/2019,Cadem,39.00,45.00,-6.00,,
28/02/2019,Criteria Research,44.00,44.00,0.00,,
21/02/2019,Cadem,42.00,44.00,-2.00,,
15/02/2019,Cadem,42.00,44.00,-2.00,,
08/02/2019,Cadem,44.00,44.00,0.00,,
01/02/2019,Cadem,44.00,44.00,0.00,,
31/01/2019,Activa Research,20.90,35.20,-14.30,,
31/01/2019,Criteria Research,43.00,41.00,2.00,,
25/01/2019,Cadem,42.00,42.00,0.00,,
18/01/2019,Cadem,42.00,42.00,0.00,,
11/01/2019,Cadem,40.00,43.00,-3.00,,
03/01/2019,Cadem,40.00,45.00,-5.00,,
02/01/2019,Adimark,38.00,52.00,-14.00,,
28/12/2018,Criteria Research,39.00,46.00,-7.00,,
28/12/2018,Cadem,40.00,46.00,-6.00,,
21/12/2018,Cadem,38.00,47.00,-9.00,,
14/12/2018,Cadem,38.00,47.00,-9.00,,
07/12/2018,Cadem,39.00,46.00,-7.00,,
02/12/2018,Criteria Research,54.00,35.00,19.00,,
30/11/2018,Criteria Research,37.00,51.00,-14.00,,
30/11/2018,Cadem,41.00,46.00,-5.00,,
27/11/2018,Adimark,44.00,49.00,-5.00,,
25/11/2018,CEP,37.00,39.00,-2.00,,
23/11/2018,Cadem,38.00,48.00,-10.00,,
16/11/2018,Cadem,41.00,44.00,-3.00,,
09/11/2018,Cadem,44.00,40.00,4.00,,
03/11/2018,Criteria Research,43.00,44.00,-1.00,,
31/10/2018,Cadem,48.00,37.00,11.00,,
29/10/2018,Adimark,48.00,46.00,2.00,,
26/10/2018,Cadem,46.00,41.00,5.00,,
19/10/2018,Cadem,50.00,38.00,12.00,,
12/10/2018,Cadem,51.00,35.00,16.00,,
05/10/2018,Cadem,51.00,34.00,17.00,,
28/09/2018,Cadem,48.00,37.00,11.00,,
27/09/2018,Adimark,45.00,47.00,-2.00,,
